id_dane,state_name,state_abbreviation,county,party,candidate,votes,fips,fraction_votes
1,Vermont,VT,Sutton,Republican,John Kasich,20,95000197,0.22699999999999998
2,Vermont,VT,Tunbridge,Republican,John Kasich,36,95000204,0.319
3,Vermont,VT,Weathersfield,Republican,Ted Cruz,46,95000220,0.111
4,Vermont,VT,Weston,Republican,John Kasich,32,95000228,0.47100000000000003
5,Vermont,VT,Whiting,Republican,Ben Carson,0,95000233,0
6,Vermont,VT,Whitingham,Republican,Donald Trump,52,95000234,0.39399999999999996
7,Vermont,VT,Williamstown,Republican,Donald Trump,130,95000235,0.359
8,Vermont,VT,Windham,Republican,Ben Carson,0,95000238,0
9,Vermont,VT,Windsor,Republican,Marco Rubio,62,95000239,0.215
10,Virginia,VA,Albemarle,Democrat,Hillary Clinton,8284,51003,0.545
11,Virginia,VA,Dinwiddie,Democrat,Hillary Clinton,1935,51053,0.833
12,Virginia,VA,Frederick,Democrat,Hillary Clinton,2136,51069,0.505
13,Virginia,VA,Nelson,Democrat,Hillary Clinton,991,51125,0.562
14,Virginia,VA,Page,Democrat,Bernie Sanders,353,51139,0.46
15,Virginia,VA,Poquoson,Democrat,Hillary Clinton,295,51735,0.465
16,Virginia,VA,Shenandoah,Democrat,Hillary Clinton,958,51171,0.505
17,Virginia,VA,Warren,Democrat,Bernie Sanders,1007,51187,0.514
18,Virginia,VA,Bland,Republican,Ben Carson,73,51021,0.069
19,Virginia,VA,Brunswick,Republican,John Kasich,54,51025,0.048
20,Virginia,VA,Charlotte,Republican,Ben Carson,107,51037,0.07200000000000001
21,Virginia,VA,Charlottesville,Republican,John Kasich,526,51540,0.18600000000000003
22,Virginia,VA,Charlottesville,Republican,Marco Rubio,1344,51540,0.475
23,Virginia,VA,Chesapeake,Republican,Ben Carson,2173,51550,0.076
24,Virginia,VA,Chesapeake,Republican,Ted Cruz,4259,51550,0.14800000000000002
25,Virginia,VA,Essex,Republican,Ted Cruz,142,51057,0.122
26,Virginia,VA,Fauquier,Republican,Donald Trump,4888,51061,0.361
27,Virginia,VA,Frederick,Republican,Ben Carson,938,51069,0.073
28,Virginia,VA,Galax,Republican,Donald Trump,303,51640,0.501
29,Virginia,VA,Goochland,Republican,Donald Trump,1820,51075,0.336
30,Virginia,VA,Henry,Republican,Ben Carson,417,51089,0.07200000000000001
31,Virginia,VA,Highland,Republican,Donald Trump,164,51091,0.418
32,Virginia,VA,King George,Republican,Donald Trump,1437,51099,0.36700000000000005
33,Virginia,VA,Loudoun,Republican,Ben Carson,2235,51107,0.043
34,Virginia,VA,Madison,Republican,John Kasich,142,51113,0.065
35,Virginia,VA,Middlesex,Republican,Donald Trump,945,51119,0.49200000000000005
36,Virginia,VA,Norton,Republican,Ted Cruz,44,51720,0.11699999999999999
37,Virginia,VA,Orange,Republican,John Kasich,448,51137,0.084
38,Virginia,VA,Petersburg,Republican,Marco Rubio,188,51730,0.264
39,Virginia,VA,Pulaski,Republican,Ben Carson,337,51155,0.081
40,Virginia,VA,Roanoke City,Republican,Donald Trump,2583,51770,0.34299999999999997
41,Virginia,VA,Rockingham,Republican,Marco Rubio,3511,51165,0.263
42,Virginia,VA,Russell,Republican,John Kasich,80,51167,0.026000000000000002
43,Virginia,VA,Shenandoah,Republican,John Kasich,371,51171,0.059000000000000004
44,Virginia,VA,Smyth,Republican,Marco Rubio,703,51173,0.21
45,Virginia,VA,Virginia Beach,Republican,Ben Carson,3261,51810,0.057999999999999996
46,Virginia,VA,Waynesboro,Republican,John Kasich,230,51820,0.081
47,Virginia,VA,Williamsburg,Republican,Ted Cruz,148,51830,0.096
48,Virginia,VA,Wise,Republican,Donald Trump,2093,51195,0.5670000000000001
49,Virginia,VA,Wise,Republican,Marco Rubio,640,51195,0.17300000000000001
50,Washington,WA,Douglas,Democrat,Hillary Clinton,23,53017,0.267
51,Washington,WA,Grays Harbor,Democrat,Hillary Clinton,65,53027,0.267
52,Washington,WA,Okanogan,Democrat,Hillary Clinton,23,53047,0.13
53,Washington,WA,Pend Oreille,Democrat,Hillary Clinton,10,53051,0.222
54,Washington,WA,Douglas,Republican,John Kasich,256,53017,0.068
55,Washington,WA,Snohomish,Republican,Donald Trump,35474,53061,0.752
56,Washington,WA,Snohomish,Republican,Ted Cruz,5097,53061,0.10800000000000001
57,Washington,WA,Spokane,Republican,John Kasich,4299,53063,0.086
58,Washington,WA,Yakima,Republican,Donald Trump,14872,53077,0.826
59,West Virginia,WV,Berkeley,Democrat,Hillary Clinton,3591,54003,0.44
60,West Virginia,WV,Grant,Democrat,Hillary Clinton,168,54023,0.42100000000000004
61,West Virginia,WV,Roane,Democrat,Bernie Sanders,1002,54087,0.529
62,West Virginia,WV,Hancock,Republican,Ted Cruz,223,54029,0.073
63,West Virginia,WV,Jackson,Republican,Donald Trump,3585,54035,0.757
64,West Virginia,WV,Kanawha,Republican,Ted Cruz,1675,54039,0.08900000000000001
65,West Virginia,WV,Mason,Republican,Ted Cruz,254,54053,0.077
66,West Virginia,WV,Monongalia,Republican,John Kasich,943,54061,0.109
67,West Virginia,WV,Preston,Republican,John Kasich,254,54077,0.048
68,West Virginia,WV,Randolph,Republican,Donald Trump,2206,54083,0.779
69,West Virginia,WV,Wirt,Republican,John Kasich,45,54105,0.078
70,West Virginia,WV,Wyoming,Republican,Ted Cruz,101,54109,0.055999999999999994
71,Wisconsin,WI,Adams,Democrat,Bernie Sanders,1501,55001,0.518
72,Wisconsin,WI,Calumet,Democrat,Bernie Sanders,4010,55015,0.568
73,Wisconsin,WI,Dunn,Democrat,Bernie Sanders,4272,55033,0.635
74,Wisconsin,WI,Jefferson,Democrat,Hillary Clinton,4771,55055,0.387
75,Wisconsin,WI,Kewaunee,Democrat,Hillary Clinton,1495,55061,0.47100000000000003
76,Wisconsin,WI,Manitowoc,Democrat,Hillary Clinton,4983,55071,0.434
77,Wisconsin,WI,Racine,Democrat,Bernie Sanders,14651,55101,0.508
78,Wisconsin,WI,Rock,Democrat,Bernie Sanders,17337,55105,0.605
79,Wisconsin,WI,Burnett,Republican,Ted Cruz,1169,55013,0.358
80,Wisconsin,WI,Menominee,Republican,Ted Cruz,76,55078,0.42
81,Wisconsin,WI,Waupaca,Republican,Donald Trump,4737,55135,0.429
82,Wyoming,WY,Laramie,Republican,Ted Cruz,141,95600036,0.653
83,Alabama,AL,Clarke,Democrat,Hillary Clinton,3148,1025,0.93
84,Alabama,AL,Madison,Democrat,Hillary Clinton,19995,1089,0.6859999999999999
85,Alabama,AL,St. Clair,Democrat,Hillary Clinton,1808,1115,0.693
86,Alabama,AL,Barbour,Republican,Ted Cruz,609,1005,0.179
87,Alabama,AL,Coffee,Republican,John Kasich,377,1031,0.036000000000000004
88,Alabama,AL,Colbert,Republican,Donald Trump,3858,1033,0.474
89,Alabama,AL,Dale,Republican,Ben Carson,1150,1045,0.125
90,Alabama,AL,Dallas,Republican,Ben Carson,46,1047,0.053
91,Alabama,AL,Etowah,Republican,Donald Trump,8657,1055,0.461
92,Alabama,AL,Fayette,Republican,Ted Cruz,1043,1057,0.21
93,Alabama,AL,Lee,Republican,Marco Rubio,4734,1081,0.225
94,Alabama,AL,Limestone,Republican,Donald Trump,8198,1083,0.43
95,Alabama,AL,Limestone,Republican,Ted Cruz,4082,1083,0.214
96,Alabama,AL,Marion,Republican,Marco Rubio,921,1093,0.139
97,Alabama,AL,Marshall,Republican,Donald Trump,9115,1095,0.495
98,Alabama,AL,Russell,Republican,John Kasich,106,1113,0.027999999999999997
99,Alabama,AL,St. Clair,Republican,Donald Trump,8596,1115,0.446
100,Alabama,AL,Sumter,Republican,Ben Carson,21,1119,0.075
101,Alabama,AL,Winston,Republican,Donald Trump,3352,1133,0.561
102,Alaska,AK,State House District 10,Democrat,Bernie Sanders,8,90200110,0.8
103,Alaska,AK,State House District 20,Democrat,Bernie Sanders,12,90200120,0.667
104,Alaska,AK,State House District 21,Democrat,Bernie Sanders,12,90200121,0.667
105,Alaska,AK,State House District 29,Democrat,Hillary Clinton,2,90200129,0.2
106,Alaska,AK,State House District 3,Democrat,Bernie Sanders,7,90200103,1
107,Alaska,AK,State House District 32,Democrat,Hillary Clinton,0,90200132,0
108,Alaska,AK,State House District 40,Democrat,Hillary Clinton,0,90200140,0
109,Alaska,AK,State House District 7,Democrat,Hillary Clinton,2,90200107,0.25
110,Alaska,AK,State House District 22,Republican,Ben Carson,52,90200122,0.08199999999999999
111,Alaska,AK,State House District 36,Republican,Donald Trump,246,90200136,0.376
112,Alaska,AK,State House District 4,Republican,Donald Trump,154,90200104,0.249
113,Alaska,AK,State House District 40,Republican,Ted Cruz,6,90200140,0.28600000000000003
114,Alaska,AK,State House District 9,Republican,Marco Rubio,129,90200109,0.122
115,Arizona,AZ,Coconino,Democrat,Hillary Clinton,5738,4005,0.441
116,Arizona,AZ,Coconino,Republican,Ted Cruz,2843,4005,0.335
117,Arizona,AZ,Graham,Republican,John Kasich,202,4009,0.053
118,Arizona,AZ,La Paz,Republican,John Kasich,61,4012,0.044000000000000004
119,Arkansas,AR,Ashley,Democrat,Bernie Sanders,980,5003,0.33799999999999997
120,Arkansas,AR,Lawrence,Democrat,Bernie Sanders,726,5075,0.386
121,Arkansas,AR,Logan,Democrat,Bernie Sanders,361,5083,0.282
122,Arkansas,AR,Madison,Democrat,Bernie Sanders,1078,5087,0.414
